postcode_heuristic, commute_time
102.17568046559332, 0.23
1207.283243858671, 0.83
256.21644838805304, 0.18
164.92785653109107, 0.06
206.3589677857928, 0.02
1792.142277523149, 0.71
959.795665329971, 0.28
1829.8699250344162, 0.7
0.0, 0.0
516.6189420675153, 0.22
2175.875230221765, 1.22
339.54099966594447, 0.3
809.1344741272193, 0.58
2042.703077815693, 2.9
312.6659392548707, 0.19
325.20819856519336, 0.01
1138.6358048855757, 1.2
974.2010029472359, 0.23
3049.602993019754, 0.78
1012.5505503223093, 0.49
926.8276850642212, 0.22
1633.3325710937413, 0.61
288.40103484815023, 0.09
224.95605440889557, 0.2
1272.7475727551673, 0.3
547.0445014601465, 0.21
79.17914069633548, 0.19
43.703109193701835, 0.03
3805.284910070504, 3.67
1714.3039176772343, 1.84
1056.6771061247614, 0.14
306.87207498322766, 0.0
321.6745226460016, 0.0
790.0919313288106, 0.9
1202.27883599334, 0.51
531.1117941300587, 0.22
730.3238849546902, 0.47
1913.3074371031853, 0.6
665.9020881833012, 0.84
818.7702403197334, 0.21
1158.0888692921308, 0.46
1950.0962830048925, 0.48
323.47475192535853, 0.29
0.0, 0.0
409.8215312405289, 0.13
3496.7536922050977, 3.79
831.0042093023783, 0.29
427.9893535325787, 0.0
35.126669417017496, 0.0
2959.9407770314906, 2.55
151.95549078832195, 0.0
1176.50155957443, 0.32
478.66384510956743, 0.33
756.9118644396267, 0.28
1806.637700732452, 0.28
39.5149896699786, 0.22
136.59147944820543, 0.2
3.0946263338522924, 0.0
727.6774659557923, 0.0
622.2373527894487, 0.19
0.0, 0.0
1994.591775765573, 1.63
10488.820032402482, 0.27
808.8300716451785, 0.1
0.0, 0.0
302.33547807076013, 0.26
186.38243993535264, 0.0
458.43412252995574, 0.38
703.39344412845, 0.59
744.6224865220994, 0.0
478.2125797873442, 0.24
1116.6901722311636, 0.22
702.4733223689767, 0.5
1429.539221039689, 1.26
1391.6016840956224, 0.01
0.0, 0.0
67.7745424246657, 0.13
860.0223020878467, 0.05
227.32239173352457, 0.15
1903.2179512387613, 1.99
161.99016932946816, 0.0
1295.61682514614, 1.65
456.4817361872083, 0.24
681.4189149074947, 0.24
201.2562442126846, 0.19
1297.3055570226863, 0.59
45.11351171410324, 0.12
402.80910415744955, 0.09
461.18288186114273, 0.11
476.65878536890676, 0.28
772.5398423566044, 0.33
540.1493310427992, 0.24
1105.8223170494946, 0.45
4071.739099907211, 1.18
721.6307377849255, 0.12
475.67733822886095, 0.76
418.0567578479294, 0.24
817.1441958087994, 0.47
484.29862952306655, 0.18
4323.285254461835, 0.46
0.0, 0.0
492.3008671563851, 0.58
2.9702992221536677, 0.0
0.0, 0.0
3167.862755307412, 1.42
1142.7153236673144, 0.48
484.4421020868805, 0.25
0.0, 0.0
0.0, 0.0
1517.0593666387315, 1.38
603.6261033975948, 0.28
1719.8639543372726, 0.55
2325.5468278611806, 0.85
0.0, 0.0
141.5967322639467, 0.0
3005.5554668137174, 3.74
590.3209696569321, 0.0
0.0, 0.0
1280.7410913020854, 0.0
497.80867806981377, 0.22
2242.2416470125795, 0.87
1189.6625794247382, 0.25
670.4246065362117, 0.14
1579.3575138424308, 0.48
0.0, 0.0
0.0, 0.0
2162.643694063497, 1.33
764.2537555532366, 0.29
0.0, 0.0
2361.1126531845903, 1.17
166.7655068161118, 0.14
1132.0649038625072, 0.39
264.65851033385906, 0.13
453.1332233230012, 0.0
3.517859995321846, 0.0
486.30627339581514, 0.11
61.53304457193719, 0.05
63.37900552625774, 0.12
0.0, 0.0
89.00961141785636, 0.01
1023.5751515492519, 1.82
663.8898630980756, 0.2
355.42371078324226, 0.19
0.0, 0.0
564.711389401045, 0.0
858.645881302875, 0.42
637.211711195073, 0.16
0.0, 0.0
26.49491706544573, 0.06
230.19646803007478, 0.11
70.32005651587133, 0.06
28.907451636068245, 0.0
2050.8722589622307, 0.8
0.0, 0.0
1075.2828548858135, 0.22
1169.8639026880205, 0.0
618.0641046755687, 0.17
916.125314420693, 0.29
0.0, 0.0
0.0, 0.0
755.6802882484534, 0.71
3579.1925654653114, 3.77
470.1855887673575, 0.09
362.772651161851, 0.15
89.99960011520707, 0.0
1546.3627510282424, 1.92
39.61505978560552, 0.01
992.1491255308557, 0.11
537.0599253731802, 0.13
0.0, 0.0
371.2283502542523, 0.68
670.0379332157696, 0.29
741.5433267458372, 0.17
882.1634429125955, 0.09
417.5415176747282, 0.0
1408.1653019971143, 0.41
0.0, 0.0
1016.0217176422179, 0.33
236.42640699409048, 0.19
1066.2931288624784, 0.42
1037.854763119173, 0.23
1991.5933580192432, 0.46
